platform,date,mentions
instagram,2018-01-26,1
instagram,2018-01-28,2
instagram,2018-01-31,2
instagram,2018-02-08,1
instagram,2018-02-09,1
instagram,2018-02-11,2
instagram,2018-02-12,1
instagram,2018-02-17,1
instagram,2018-02-18,1
instagram,2018-02-19,1
instagram,2018-02-24,1
instagram,2018-02-26,3
instagram,2018-03-02,1
instagram,2018-03-04,1
instagram,2018-03-07,1
instagram,2018-03-08,2
instagram,2018-03-09,1
instagram,2018-03-10,1
instagram,2018-03-11,2
instagram,2018-03-12,1
instagram,2018-03-14,1
instagram,2018-03-18,1
instagram,2018-03-24,1
instagram,2018-03-26,3
instagram,2018-03-27,1
instagram,2018-03-28,1
instagram,2018-03-29,2
instagram,2018-03-30,2
instagram,2018-03-31,1
instagram,2018-04-01,1
instagram,2018-04-02,1
instagram,2018-04-03,2
instagram,2018-04-13,1
instagram,2018-04-22,3
instagram,2018-04-25,1
instagram,2018-04-27,1
instagram,2018-04-29,1
instagram,2018-05-01,1
instagram,2018-05-06,1
instagram,2018-05-09,1
instagram,2018-05-10,2
instagram,2018-05-11,1
instagram,2018-05-15,1
instagram,2018-05-20,1
instagram,2018-05-24,1
instagram,2018-05-25,1
instagram,2018-05-27,1
instagram,2018-06-08,1
instagram,2018-06-09,2
instagram,2018-06-11,1
instagram,2018-06-17,1
instagram,2018-06-18,2
instagram,2018-06-23,1
instagram,2018-06-24,1
instagram,2018-06-25,1
instagram,2018-06-27,1
instagram,2018-06-30,1
instagram,2018-07-01,1
instagram,2018-07-02,2
instagram,2018-07-04,3
instagram,2018-07-06,1
instagram,2018-07-11,1
instagram,2018-07-13,2
instagram,2018-07-14,1
instagram,2018-07-15,2
instagram,2018-07-16,2
instagram,2018-07-17,2
instagram,2018-07-18,1
instagram,2018-07-19,3
instagram,2018-07-20,1
instagram,2018-07-21,3
instagram,2018-07-22,2
instagram,2018-07-25,2
instagram,2018-07-27,1
instagram,2018-07-29,2
instagram,2018-07-30,3
instagram,2018-08-02,2
instagram,2018-08-03,5
instagram,2018-08-05,1
instagram,2018-08-12,1
instagram,2018-08-13,5
instagram,2018-08-14,1
instagram,2018-08-15,1
instagram,2018-08-16,1
instagram,2018-08-17,2
instagram,2018-08-18,1
instagram,2018-08-19,2
instagram,2018-08-20,1
instagram,2018-08-21,1
instagram,2018-08-23,2
instagram,2018-08-24,1
instagram,2018-08-26,2
instagram,2018-08-27,2
instagram,2018-08-29,1
instagram,2018-08-30,1
instagram,2018-09-01,3
instagram,2018-09-02,1
instagram,2018-09-03,3
instagram,2018-09-04,2
instagram,2018-09-05,1
instagram,2018-09-07,3
instagram,2018-09-08,2
instagram,2018-09-09,2
