date,mentions,ma,sd,z,is_peak
2017-09-06,1,1.5,0.7319250547114001,-0.683130051063973,False
2017-09-07,2,1.5714285714285714,0.7284313590846839,0.5883484054145518,False
2017-09-08,1,1.5714285714285714,0.7284313590846839,-0.7844645405527356,False
2017-09-09,3,1.7142857142857142,0.7953949089757176,1.6164477182409738,False
2017-09-10,1,1.7142857142857142,0.7953949089757176,-0.8980265101338741,False
2017-09-11,1,1.5714285714285714,0.7284313590846838,-0.7844645405527358,False
2017-09-13,1,1.5,0.7319250547114001,-0.683130051063973,False
2017-09-15,1,1.5,0.7319250547114001,-0.683130051063973,False
2017-09-18,1,1.5,0.7319250547114001,-0.683130051063973,False
2017-09-19,1,1.5,0.7319250547114001,-0.683130051063973,False
2017-09-22,1,1.5,0.7319250547114001,-0.683130051063973,False
2017-09-25,1,1.3571428571428572,0.6102859818083953,-0.5852057359806527,False
2017-09-27,1,1.2857142857142858,0.5890150893739518,-0.4850712500726659,False
2017-10-03,1,1.2142857142857142,0.5578749768504756,-0.38411063979868754,False
2017-10-04,1,1.2142857142857142,0.5578749768504756,-0.38411063979868754,False
2017-10-08,1,1.1428571428571428,0.5150787536377129,-0.27735009811261435,False
2017-10-09,1,1.1428571428571428,0.5150787536377129,-0.27735009811261435,False
2017-10-11,1,1.0,0.0,,False
2017-10-12,1,1.0,0.0,,False
2017-10-22,1,1.0,0.0,,False
2017-10-23,1,1.0,0.0,,False
2017-10-31,2,1.0714285714285714,0.25753937681885686,3.605551275463983,True
2017-11-02,1,1.0714285714285714,0.25753937681885686,-0.2773500981126139,False
2017-11-04,1,1.0714285714285714,0.25753937681885686,-0.2773500981126139,False
2017-11-05,3,1.2142857142857142,0.5578749768504756,3.2009219983223978,True
2017-11-07,1,1.2142857142857142,0.5578749768504756,-0.38411063979868754,False
2017-11-11,1,1.2142857142857142,0.5578749768504756,-0.38411063979868754,False
2017-11-13,1,1.2142857142857142,0.5578749768504756,-0.38411063979868754,False
2017-11-15,1,1.2142857142857142,0.5578749768504756,-0.38411063979868754,False
2017-11-16,1,1.2142857142857142,0.5578749768504756,-0.38411063979868754,False
2017-11-17,1,1.2142857142857142,0.5578749768504756,-0.38411063979868754,False
2017-11-18,1,1.2142857142857142,0.5578749768504756,-0.38411063979868754,False
2017-11-21,1,1.2142857142857142,0.5578749768504756,-0.38411063979868754,False
2017-11-22,1,1.2142857142857142,0.5578749768504756,-0.38411063979868754,False
2017-11-25,1,1.2142857142857142,0.5578749768504756,-0.38411063979868754,False
2017-11-27,2,1.2142857142857142,0.5578749768504756,1.4084056792618551,False
2017-12-02,1,1.2142857142857142,0.5578749768504756,-0.38411063979868754,False
2017-12-03,1,1.2142857142857142,0.5578749768504756,-0.38411063979868754,False
2017-12-10,1,1.0714285714285714,0.2575393768188569,-0.27735009811261385,False
2017-12-11,1,1.0714285714285714,0.2575393768188569,-0.27735009811261385,False
2017-12-12,1,1.0714285714285714,0.2575393768188569,-0.27735009811261385,False
2017-12-13,2,1.1428571428571428,0.349927106111883,2.4494897427831757,False
2017-12-15,1,1.1428571428571428,0.349927106111883,-0.40824829046386235,False
2017-12-21,2,1.2142857142857142,0.41032590332414526,1.9148542155126749,False
2017-12-26,1,1.2142857142857142,0.41032590332414526,-0.5222329678670928,False
2017-12-29,1,1.2142857142857142,0.41032590332414526,-0.5222329678670928,False
2017-12-30,3,1.3571428571428572,0.6102859818083953,2.691946385511002,True
2017-12-31,1,1.3571428571428572,0.6102859818083953,-0.5852057359806527,False
2018-01-04,1,1.3571428571428572,0.6102859818083953,-0.5852057359806527,False
2018-01-08,2,1.3571428571428572,0.6102859818083953,1.0533703247651744,False
2018-01-14,4,1.5714285714285714,0.9035079029052514,2.687936011143122,True
2018-01-15,3,1.7142857142857142,0.9583148474999101,1.3416407864998736,False
2018-01-18,1,1.7142857142857142,0.9583148474999101,-0.7453559924999296,False
2018-01-19,3,1.8571428571428572,0.9897433186107872,1.1547005383792512,False
2018-01-22,1,1.8571428571428572,0.9897433186107872,-0.8660254037844385,False
2018-01-23,1,1.7857142857142858,1.0126747770541307,-0.7758801774444579,False
2018-01-24,1,1.7857142857142858,1.0126747770541307,-0.7758801774444579,False
2018-01-26,1,1.7142857142857142,1.0301575072754257,-0.6933752452815363,False
2018-01-28,2,1.7857142857142858,1.0126747770541307,0.21160368475757932,False
2018-01-31,2,1.8571428571428572,0.9897433186107872,0.14433756729740635,False
2018-02-08,1,1.7142857142857142,0.9583148474999101,-0.7453559924999296,False
2018-02-09,1,1.7142857142857142,0.9583148474999101,-0.7453559924999296,False
2018-02-11,2,1.7857142857142858,0.939496174140422,0.22808577638091151,False
