date,Yamaha,BMW Motorrad,KTM,Triumph,Ducati
2025-05-26,78.85714285714286,4.428571428571429,29.142857142857142,26.428571428571427,20.714285714285715
2025-05-27,78.71428571428571,4.571428571428571,29.285714285714285,26.428571428571427,20.428571428571427
2025-05-28,77.42857142857143,4.571428571428571,29.0,26.571428571428573,20.857142857142858
2025-05-29,79.28571428571429,4.428571428571429,28.571428571428573,27.285714285714285,21.428571428571427
2025-05-30,79.42857142857143,4.428571428571429,28.571428571428573,28.285714285714285,21.285714285714285
2025-05-31,79.14285714285714,4.0,28.285714285714285,28.571428571428573,21.142857142857142
2025-06-01,77.71428571428571,4.142857142857143,27.714285714285715,28.142857142857142,20.857142857142858
2025-06-02,78.0,4.142857142857143,27.285714285714285,28.571428571428573,20.714285714285715
2025-06-03,76.28571428571429,4.0,26.142857142857142,28.142857142857142,20.857142857142858
2025-06-04,76.42857142857143,4.0,26.142857142857142,27.714285714285715,20.142857142857142
2025-06-05,73.57142857142857,4.0,25.428571428571427,26.285714285714285,19.428571428571427
2025-06-06,71.71428571428571,3.5714285714285716,24.428571428571427,25.0,18.857142857142858
2025-06-07,71.71428571428571,3.4285714285714284,24.428571428571427,25.0,18.714285714285715
2025-06-08,72.0,3.5714285714285716,24.714285714285715,24.571428571428573,18.571428571428573
2025-06-09,72.71428571428571,3.5714285714285716,26.142857142857142,25.285714285714285,18.857142857142858
2025-06-10,73.71428571428571,3.4285714285714284,26.142857142857142,25.428571428571427,18.857142857142858
2025-06-11,74.28571428571429,3.5714285714285716,26.285714285714285,25.714285714285715,19.285714285714285
2025-06-12,75.0,3.7142857142857144,26.714285714285715,26.142857142857142,19.428571428571427
2025-06-13,74.85714285714286,4.0,26.857142857142858,26.428571428571427,19.714285714285715
2025-06-14,75.14285714285714,4.142857142857143,26.857142857142858,26.142857142857142,20.714285714285715
2025-06-15,75.28571428571429,4.0,26.285714285714285,26.428571428571427,20.571428571428573
2025-06-16,74.28571428571429,4.142857142857143,24.857142857142858,25.428571428571427,19.857142857142858
2025-06-17,73.85714285714286,4.285714285714286,25.142857142857142,25.714285714285715,20.142857142857142
2025-06-18,73.71428571428571,4.0,24.714285714285715,26.0,19.714285714285715
2025-06-19,74.42857142857143,3.857142857142857,24.571428571428573,26.0,20.0
2025-06-20,75.42857142857143,3.7142857142857144,25.0,26.142857142857142,20.285714285714285
2025-06-21,75.42857142857143,3.857142857142857,24.857142857142858,26.571428571428573,20.142857142857142
2025-06-22,74.28571428571429,3.857142857142857,24.857142857142858,26.285714285714285,20.714285714285715
2025-06-23,74.14285714285714,3.5714285714285716,24.571428571428573,26.428571428571427,20.857142857142858
2025-06-24,74.57142857142857,3.4285714285714284,24.714285714285715,25.857142857142858,20.285714285714285
2025-06-25,73.71428571428571,3.4285714285714284,25.142857142857142,25.571428571428573,20.714285714285715
2025-06-26,73.57142857142857,3.4285714285714284,24.857142857142858,26.142857142857142,20.142857142857142
2025-06-27,73.85714285714286,3.2857142857142856,24.142857142857142,26.428571428571427,20.0
2025-06-28,73.71428571428571,3.2857142857142856,23.571428571428573,26.285714285714285,19.428571428571427
2025-06-29,74.28571428571429,3.2857142857142856,23.0,26.571428571428573,19.0
2025-06-30,74.28571428571429,3.2857142857142856,22.714285714285715,27.0,19.142857142857142
2025-07-01,73.0,3.5714285714285716,22.428571428571427,26.857142857142858,19.0
2025-07-02,73.57142857142857,3.857142857142857,21.857142857142858,26.857142857142858,18.571428571428573
2025-07-03,73.57142857142857,3.7142857142857144,22.0,26.857142857142858,18.571428571428573
2025-07-04,73.71428571428571,3.857142857142857,21.857142857142858,26.428571428571427,18.857142857142858
2025-07-05,73.14285714285714,3.7142857142857144,22.0,26.857142857142858,19.142857142857142
2025-07-06,73.71428571428571,3.857142857142857,22.428571428571427,27.285714285714285,19.285714285714285
2025-07-07,73.57142857142857,4.0,23.285714285714285,27.142857142857142,19.142857142857142
2025-07-08,73.14285714285714,3.857142857142857,23.0,27.285714285714285,19.285714285714285
2025-07-09,72.71428571428571,3.857142857142857,23.0,27.142857142857142,19.428571428571427
2025-07-10,72.57142857142857,4.285714285714286,22.714285714285715,26.714285714285715,20.142857142857142
2025-07-11,73.0,4.285714285714286,23.571428571428573,27.142857142857142,20.0
2025-07-12,74.0,4.285714285714286,24.0,26.285714285714285,19.857142857142858
2025-07-13,73.28571428571429,4.142857142857143,23.142857142857142,25.714285714285715,20.0
2025-07-14,74.28571428571429,4.142857142857143,23.285714285714285,26.142857142857142,20.428571428571427
2025-07-15,75.0,4.142857142857143,23.571428571428573,26.285714285714285,20.714285714285715
2025-07-16,76.28571428571429,4.0,23.571428571428573,26.285714285714285,20.714285714285715
2025-07-17,75.57142857142857,4.0,24.285714285714285,26.142857142857142,20.571428571428573
2025-07-18,74.85714285714286,3.857142857142857,23.857142857142858,26.285714285714285,20.428571428571427
2025-07-19,74.57142857142857,3.857142857142857,24.285714285714285,26.428571428571427,20.428571428571427
2025-07-20,74.42857142857143,3.857142857142857,26.0,26.714285714285715,20.142857142857142
