node,label,platform,node_type,city,in_degree,out_degree,betweenness,eigenvector,community
@pi.erfotografia,@pi.erfotografia,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@africatwinfans,@africatwinfans,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@azmotohondarouen,@azmotohondarouen,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@adventures_of_the_arctic_twin,@adventures_of_the_arctic_twin,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@bikexplorer2b,@bikexplorer2b,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@corsica_twin,@corsica_twin,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@christolguillaume,@christolguillaume,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@nonzamoto,@nonzamoto,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@jeffreymoffat,@jeffreymoffat,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@visionxusa,@visionxusa,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@airohelmet_official,@airohelmet_official,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@salentomotoadv,@salentomotoadv,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@untamed_on_the_road,@untamed_on_the_road,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@nolangroup,@nolangroup,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@africatwinbarcelona,@africatwinbarcelona,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@xadvbarcelona,@xadvbarcelona,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@clubadvhbcn,@clubadvhbcn,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@impalabcn,@impalabcn,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@outbackmotortek,@outbackmotortek,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@dadrider,@dadrider,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@xridersafricatwin,@xridersafricatwin,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@hondaatas,@hondaatas,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@kargokulte,@kargokulte,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@ben__vlt,@ben__vlt,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@benzinaipubilles,@benzinaipubilles,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@lapetitecalifornie,@lapetitecalifornie,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@gcmrccn,@gcmrccn,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@rd03andme,@rd03andme,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@bmwgs1200,@bmwgs1200,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@dreamcatcher_996,@dreamcatcher_996,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@froudshi,@froudshi,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@mrs_calypso,@mrs_calypso,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@miss_julezz,@miss_julezz,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@crasybird,@crasybird,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@davidzauner,@davidzauner,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@breaktime1,@breaktime1,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@short_riders,@short_riders,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@dackstone,@dackstone,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@simple_speedy,@simple_speedy,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@Moto,@Moto,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@garmin_belux,@garmin_belux,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@riccardkh,@riccardkh,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@ridetraineat,@ridetraineat,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@sarahdesti,@sarahdesti,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@sergioribasgram,@sergioribasgram,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@motomacchionsrl,@motomacchionsrl,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@macchiongiuseppe,@macchiongiuseppe,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@schuberthhelmet,@schuberthhelmet,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@eicmaofficial,@eicmaofficial,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@jonas_decroix,@jonas_decroix,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@continentalbenelux,@continentalbenelux,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@seguidores,@seguidores,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@viagensaovirardaesquina,@viagensaovirardaesquina,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@revistamotos,@revistamotos,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@goldenbat.pt,@goldenbat.pt,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@garminitaly,@garminitaly,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@kryomoto,@kryomoto,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@mab_motoairbag,@mab_motoairbag,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@interphone_official,@interphone_official,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@adv_motoexplorer,@adv_motoexplorer,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@bigtrailmagazine,@bigtrailmagazine,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@wheeliemalc,@wheeliemalc,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@paul_williamson74,@paul_williamson74,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@mototaxidiotis,@mototaxidiotis,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@fourio,@fourio,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@mototravellers,@mototravellers,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@lukmcm,@lukmcm,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@nicolas__adc,@nicolas__adc,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@tourmastergear,@tourmastergear,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@africatwinbr,@africatwinbr,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@equipeforcaeacao,@equipeforcaeacao,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@ewenliammm,@ewenliammm,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@hondabigbikejateng,@hondabigbikejateng,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@embong65,@embong65,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@cavallari_motorbike,@cavallari_motorbike,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@laurane_csr,@laurane_csr,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@hondamotos_cl,@hondamotos_cl,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@franciscochalecolopez,@franciscochalecolopez,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@levalle_pablo,@levalle_pablo,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@ashutosh.patill,@ashutosh.patill,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@373.media,@373.media,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@4ridemotorcycle,@4ridemotorcycle,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@bikerslifebr,@bikerslifebr,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@passostelvio_stilfserjoch,@passostelvio_stilfserjoch,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@passo_stelvio_stilfserjoch,@passo_stelvio_stilfserjoch,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@brnocircuit_official,@brnocircuit_official,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@the_riding_dudes,@the_riding_dudes,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@the_rochou,@the_rochou,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@the_bruge,@the_bruge,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@giova_africa_twin,@giova_africa_twin,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@moto.ego.art,@moto.ego.art,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@hondamotorrad_at,@hondamotorrad_at,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@alpinestarspt,@alpinestarspt,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@cardoportugal,@cardoportugal,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@stradeinafrica,@stradeinafrica,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@christopherthoms,@christopherthoms,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@nelsonrigg,@nelsonrigg,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@waveal,@waveal,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@serkanakiner,@serkanakiner,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@motoztires,@motoztires,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@motoztyresza,@motoztyresza,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@thierrylth,@thierrylth,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@babetto_geom_marco,@babetto_geom_marco,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@khalidvanjara,@khalidvanjara,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@marret,@marret,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@marsalacity,@marsalacity,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@pieroromero,@pieroromero,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@norteadv,@norteadv,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@djiglobal,@djiglobal,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@yamahamotoruk,@yamahamotoruk,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@heed_polska,@heed_polska,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@mivvexhausts,@mivvexhausts,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@clubmotorcycle97,@clubmotorcycle97,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@zibble_bubble,@zibble_bubble,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@africatwinadvsport,@africatwinadvsport,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@giovanni_chillemi,@giovanni_chillemi,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@locos_por_la_gasolina,@locos_por_la_gasolina,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@losangelesmotorcycleclub.,@losangelesmotorcycleclub.,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@coldspringtavern,@coldspringtavern,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@exclusiveridersnetwork,@exclusiveridersnetwork,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@sandeep_ramesh,@sandeep_ramesh,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@gopro,@gopro,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@molekes_da_midia,@molekes_da_midia,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@francesco_paura,@francesco_paura,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@customizermoto,@customizermoto,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@rivieccioriccardo,@rivieccioriccardo,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@aniellorozza,@aniellorozza,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@fabio_z_officina,@fabio_z_officina,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@hellspiderphotography,@hellspiderphotography,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@pedr0.grau,@pedr0.grau,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@kevingallas71,@kevingallas71,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@aprilia_spain,@aprilia_spain,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@triumphgermany,@triumphgermany,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@gogoro_sgp,@gogoro_sgp,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@nbw_singapore,@nbw_singapore,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@iqahsaidi,@iqahsaidi,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@lajedo_spotting,@lajedo_spotting,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@canionsadventure_,@canionsadventure_,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@eos_canonjp,@eos_canonjp,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@celalyolsal,@celalyolsal,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@gokbenbagci,@gokbenbagci,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@bengibaytekin,@bengibaytekin,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@petessalesandservice.,@petessalesandservice.,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@de_torque_twister,@de_torque_twister,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@gabriel_ljc7,@gabriel_ljc7,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@HondaMotorcycles,@HondaMotorcycles,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@AkrapovicOfficial,@AkrapovicOfficial,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@Alpinestars,@Alpinestars,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@SW_MOTECH,@SW_MOTECH,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@givi,@givi,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@sterrareeumano,@sterrareeumano,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@zweirad_uhlmann,@zweirad_uhlmann,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@greekadvriders,@greekadvriders,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@aribemotos,@aribemotos,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@itabaianamotos,@itabaianamotos,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@isaacmotosaraxa,@isaacmotosaraxa,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@isaacoolv,@isaacoolv,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@kikobernardinelli,@kikobernardinelli,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@adventure_loneridergear,@adventure_loneridergear,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@adventure_riders_official,@adventure_riders_official,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@davide.m_adv,@davide.m_adv,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@adventuraleee,@adventuraleee,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@vann_tayme,@vann_tayme,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@innovopowersports,@innovopowersports,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@portugalmotorsportadventure,@portugalmotorsportadventure,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@boulderouge,@boulderouge,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@squadrawilier,@squadrawilier,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@tonylongo84,@tonylongo84,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@cattaneojohnny,@cattaneojohnny,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@fastdebe,@fastdebe,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@uwehochenwarter,@uwehochenwarter,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@marcogugarebagliati,@marcogugarebagliati,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@maxkroneck,@maxkroneck,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@zonainfinito,@zonainfinito,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@juancaalvarado,@juancaalvarado,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@josemontalto80,@josemontalto80,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@sexo.viril,@sexo.viril,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@bastian_reepschlaeger,@bastian_reepschlaeger,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@augenblickberg,@augenblickberg,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@flavecars,@flavecars,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@adhemarrocha_oficial,@adhemarrocha_oficial,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@moto,@moto,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@moar_photography,@moar_photography,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@motor_couple,@motor_couple,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@hondanederland,@hondanederland,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@honda.moto.benelux,@honda.moto.benelux,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@honda.moto.club,@honda.moto.club,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@honda_motorclub,@honda_motorclub,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@hondabikez,@hondabikez,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@hondamarseille,@hondamarseille,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@wada_wada_do_grau,@wada_wada_do_grau,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@motoscuderia.com.br,@motoscuderia.com.br,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@aswracing,@aswracing,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@belohorizontemg,@belohorizontemg,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@lucke_caricaturas,@lucke_caricaturas,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@transalpsantacatarina,@transalpsantacatarina,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@trip100destino,@trip100destino,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@rastrodaserpentebr476,@rastrodaserpentebr476,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@anitadieberggams,@anitadieberggams,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@alex_brack_,@alex_brack_,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@pushinglimits.de,@pushinglimits.de,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@sambamblair,@sambamblair,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@munich_wieserle,@munich_wieserle,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@sascha.kowalski,@sascha.kowalski,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@repostapp,@repostapp,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@goretextransalpinerun.,@goretextransalpinerun.,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@briehemingway,@briehemingway,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@juliane.i,@juliane.i,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@running_barthelomeo,@running_barthelomeo,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@trailruntom,@trailruntom,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@suuntosuomi,@suuntosuomi,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@high5suomi,@high5suomi,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@bergsteiger.magazin,@bergsteiger.magazin,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@running.geo.,@running.geo.,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@vikingfootwear_dach,@vikingfootwear_dach,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@reebokgermany,@reebokgermany,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@casper.kaars,@casper.kaars,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@smart365.ro,@smart365.ro,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@just_stoffl,@just_stoffl,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@shoei_france,@shoei_france,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@scorpionsports,@scorpionsports,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@seguramoto,@seguramoto,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@helstons.,@helstons.,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@belstaff,@belstaff,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@la_becanerie,@la_becanerie,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@motard_official_page,@motard_official_page,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@moto_magazine_france,@moto_magazine_france,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@barlito,@barlito,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@bob_not_bob,@bob_not_bob,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@therealsevy,@therealsevy,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@evanfry,@evanfry,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@trail_blazer_chamonix,@trail_blazer_chamonix,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@ibiscycles,@ibiscycles,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@rlassen,@rlassen,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@recoverypump,@recoverypump,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@trailandultra,@trailandultra,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@montrailrunning,@montrailrunning,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@feeturesrunning,@feeturesrunning,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@tadej_gorzeti,@tadej_gorzeti,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@ringelspitzhuette,@ringelspitzhuette,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@davosklosters,@davosklosters,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@mtbzug,@mtbzug,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@imba.schweiz,@imba.schweiz,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@belindajuhasz,@belindajuhasz,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@martinbissig,@martinbissig,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@sarahheilig,@sarahheilig,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@finaleoutdoorregion,@finaleoutdoorregion,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@romanobike,@romanobike,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@marco_pue,@marco_pue,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@redbullswitzerland,@redbullswitzerland,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@ixsmtb,@ixsmtb,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@camelbakch,@camelbakch,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@fiveten_official,@fiveten_official,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@ext_switzerland,@ext_switzerland,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@faserwerk_parts,@faserwerk_parts,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@sarita_denz,@sarita_denz,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@rockshox_official,@rockshox_official,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@relevateridesuspension,@relevateridesuspension,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@extremeshox,@extremeshox,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@industry_nine,@industry_nine,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@acroscomponents,@acroscomponents,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@ks_taiwan,@ks_taiwan,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@foxmtb,@foxmtb,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@maxxistires,@maxxistires,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@stansnotubes,@stansnotubes,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@vitalmtb,@vitalmtb,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@canecreekusa,@canecreekusa,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@maxxisreifen,@maxxisreifen,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@alpventura,@alpventura,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@alexgammeter,@alexgammeter,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@bikerevier.ch,@bikerevier.ch,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@steffiemarth,@steffiemarth,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@bike.magazin,@bike.magazin,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@propain_bicycles,@propain_bicycles,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@biladt,@biladt,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@rifugio.resciesa,@rifugio.resciesa,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@seceda_official,@seceda_official,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@snape_mtb,@snape_mtb,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@photographermichaelmueller,@photographermichaelmueller,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@alpstours.eu,@alpstours.eu,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@mryudhanegara,@mryudhanegara,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@pitarque_turismo,@pitarque_turismo,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@tamergunal,@tamergunal,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@rishaadmody,@rishaadmody,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@jaspersstephan,@jaspersstephan,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@rtech_mx,@rtech_mx,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@switchygraphics,@switchygraphics,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@photo_bevuri,@photo_bevuri,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@nico_blujappo,@nico_blujappo,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@hondawingsa,@hondawingsa,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@hondaday_southafrica,@hondaday_southafrica,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@hondasociety_cpt,@hondasociety_cpt,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@honda_wing_george,@honda_wing_george,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@hondawingcapetown,@hondawingcapetown,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@honda_canal_walk,@honda_canal_walk,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@honda_adventurecenter,@honda_adventurecenter,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@honda_tygerberg,@honda_tygerberg,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@hondacapetown9,@hondacapetown9,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@hondawingumhlanga,@hondawingumhlanga,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
@webschter87,@webschter87,instagram,ig_user,,1.0,0.0,0.0,0.0,-1
