source,target,weight,types,rating_avg,city
jvlino,@filcoffee_motorrad,6,ig_mention,,
photography_about_,@honda.africa.twin.fans,2,ig_mention,,
photography_about_,@hondamotos.pt,3,ig_mention,,
photography_about_,@hondaracingcorporation,5,ig_mention,,
photography_about_,@honda_powersports_us,2,ig_mention,,
photography_about_,@hondaukmotorcycles,2,ig_mention,,
photography_about_,@honda_racing_us,2,ig_mention,,
photography_about_,@hondamotoitalia,2,ig_mention,,
photography_about_,@africa_twin_riders,3,ig_mention,,
photography_about_,@africatwinadventuresports,2,ig_mention,,
photography_about_,@africa_twin_offroad,2,ig_mention,,
photography_about_,@africa_twin_oficial,2,ig_mention,,
photography_about_,@africatwinlovers,3,ig_mention,,
photography_about_,@instagram,2,ig_mention,,
photography_about_,@airoh_official,2,ig_mention,,
photography_about_,@remus_sportexhaust,3,ig_mention,,
photography_about_,@metzelermoto,2,ig_mention,,
photography_about_,@onoffadv,2,ig_mention,,
photography_about_,@advpulse,3,ig_mention,,
photography_about_,@africatwin_es,2,ig_mention,,
vicentehernando71,@vicentehernando71,6,ig_mention,,
lehandronogueira,@adventure.arte,2,ig_mention,,
north.twin.rider,@loneridergear,2,ig_mention,,
north.twin.rider,@rideparts_onlineshop,2,ig_mention,,
_rubyrides_,@bafflehaus,2,ig_mention,,
_rubyrides_,@cardo_uk,2,ig_mention,,
_rubyrides_,@forcefieldbodyarmourworld,2,ig_mention,,
_rubyrides_,@oxfordproducts,5,ig_mention,,
_rubyrides_,@kriegausa,3,ig_mention,,
_rubyrides_,@ruroc,2,ig_mention,,
_rubyrides_,@hondaukmotorcycles,2,ig_mention,,
o_jef94,@leocoelho2035,2,ig_mention,,
riderspb.design,@rics79garage,2,ig_mention,,
riderspb.design,@ridegarage.id,2,ig_mention,,
maveriktop23,@africatwinworld,2,ig_mention,,
maveriktop23,@africa_twin_spainoficial,2,ig_mention,,
walterr_lopes68,@africa_twin_riders,2,ig_mention,,
walterr_lopes68,@worldafricatwinriders,2,ig_mention,,
motobalance09,@africa_twin_riders,2,ig_mention,,
motobalance09,@worldafricatwinriders,2,ig_mention,,
disp192,@hondamotoitalia,2,ig_mention,,
disp192,@africa_twin_riders,2,ig_mention,,
disp192,@shoeiitalia,2,ig_mention,,
disp192,@revit_official,2,ig_mention,,
africa_twins_,@honda.africa.twin.fans,2,ig_mention,,
sierra_ru_bravo,@bikerstabledeiningen,2,ig_mention,,
sierra_ru_bravo,@motorrad_wessmann,2,ig_mention,,
sierra_ru_bravo,@hondamotorrad_de,2,ig_mention,,
sierra_ru_bravo,@bikers_outfit_augustfehn,2,ig_mention,,
sierra_ru_bravo,@touratech,2,ig_mention,,
petitmach,@horizon_adv,2,ig_mention,,
petitmach,@africa_twin_oficial,2,ig_mention,,
petitmach,@africamotos,2,ig_mention,,
mdp.91,@isotta_official,3,ig_mention,,
mdp.91,@caberghelmets,3,ig_mention,,
mdp.91,@Stylmartin_official,3,ig_mention,,
mdp.91,@sercomoto,3,ig_mention,,
mdp.91,@tomtomdrivers,3,ig_mention,,
mdp.91,@roadbookmag,3,ig_mention,,
mdp.91,@hondamotoitalia,3,ig_mention,,
mdp.91,@givi_official,3,ig_mention,,
urlaub_aufm_bike,@amo_geddon,2,ig_mention,,
darazslovas,@davidszinger,2,ig_mention,,
cms91.honda,@givi_official,2,ig_mention,,
cms91.honda,@hondamotofr,3,ig_mention,,
cms91.honda,@arrowexhaust,2,ig_mention,,
mazinga_s_rules,@mazinga_s_rules,2,ig_mention,,
_box87_,@box87.at,9,ig_mention,,
_box87_,@87xpictures,9,ig_mention,,
_box87_,@martina_box87,9,ig_mention,,
_box87_,@ersatzteilpartner,9,ig_mention,,
_box87_,@worldafricatwinriders,9,ig_mention,,
_box87_,@africa_twin_riders,9,ig_mention,,
_box87_,@outback_motortek,9,ig_mention,,
_box87_,@barkbustershandguards,9,ig_mention,,
cavagliatommaso,@banan_travels,5,ig_mention,,
le_motard_baroudeur,@bikers900gt,2,ig_mention,,
le_motard_baroudeur,@hondamotofr,2,ig_mention,,
le_motard_baroudeur,@4en1_honda,2,ig_mention,,
gdkmotos,@hondamoto_ch,2,ig_mention,,
axel_onhisbike,@axel_onhisbike,15,ig_mention,,
axel_onhisbike,@loneridergear,20,ig_mention,,
axel_onhisbike,@altrider_official,15,ig_mention,,
axel_onhisbike,@adventure.spec,16,ig_mention,,
axel_onhisbike,@allroadmoto.be,15,ig_mention,,
axel_onhisbike,@streetmotopiece,15,ig_mention,,
axel_onhisbike,@motozhq,15,ig_mention,,
axel_onhisbike,@sercomoto,15,ig_mention,,
axel_onhisbike,@cardosystems,16,ig_mention,,
axel_onhisbike,@sbvtools,14,ig_mention,,
axel_onhisbike,@peakdesignmoto,3,ig_mention,,
goffi_workshop,@martin_rider_fr,3,ig_mention,,
goffi_workshop,@chasing.crystal,2,ig_mention,,
goffi_workshop,@gmail.com,3,ig_mention,,
allroadmoto.be,@outback_motortek,3,ig_mention,,
allroadmoto.be,@allroadmoto.be,2,ig_mention,,
allroadmoto.be,@barkbustershandguards,2,ig_mention,,
allroadmoto.be,@crf1100africatwin,2,ig_mention,,
allroadmoto.be,@germangypsies.adv,2,ig_mention,,
ridewithmax_,@alpinestars,3,ig_mention,,
ridewithmax_,@revit_adventure,6,ig_mention,,
ridewithmax_,@hondamotorrad_de,3,ig_mention,,
ridewithmax_,@honda_oldschool_czech,3,ig_mention,,
ridewithmax_,@moskomoto,3,ig_mention,,
ridewithmax_,@adam_riemann,3,ig_mention,,
ridewithmax_,@touratech,3,ig_mention,,
ridewithmax_,@agvhelmets,3,ig_mention,,
afrimcqueen,@africatwin_spirit,2,ig_mention,,
